         6673132 function calls (6671433 primitive calls) in 16.109 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       43    4.411    0.103    7.471    0.174 EwaldStuff.py:128(EwaldNearVel)
       43    1.124    0.026    2.203    0.051 Fluid.py:136(determineQuad)
  1496284    0.855    0.000    0.856    0.000 {numpy.array}
  1199542    0.809    0.000    0.809    0.000 {built-in method calcShifted}
  1199542    0.615    0.000    2.161    0.000 EwaldStuff.py:205(calcShifted)
    33620    0.544    0.000    0.815    0.000 chebfcns.py:154(Lmat)
    14373    0.536    0.000    1.292    0.000 EwaldStuff.py:191(neighborBins)
      129    0.427    0.003    0.427    0.003 {built-in method finufft3d1_cpp}
     4089    0.360    0.000    0.411    0.000 linalg.py:327(solve)
   206440    0.328    0.000    0.328    0.000 {built-in method RPYNKer}
    15673    0.312    0.000    0.449    0.000 linalg.py:486(inv)
      454    0.302    0.001    0.303    0.001 Fiber.py:354(SBTKernelSplit)
    38931    0.292    0.000    0.407    0.000 chebfcns.py:131(th1)
       43    0.273    0.006   14.593    0.339 Fluid.py:60(nLvel)
      129    0.263    0.002    0.263    0.002 {built-in method finufft3d2_cpp}
    47380    0.253    0.000    0.313    0.000 numeric.py:1121(outer)
    14373    0.233    0.000    0.379    0.000 arraysetops.py:299(_unique1d)
     9244    0.220    0.000    0.220    0.000 {built-in method RPYSBTKernel}
     5802    0.208    0.000    0.559    0.000 chebfcns.py:12(chebpts)
       43    0.178    0.004    0.929    0.022 EwaldStuff.py:67(EwaldFarVel)
      860    0.146    0.000    0.426    0.000 Fiber.py:150(calcM)
    63119    0.139    0.000    0.139    0.000 {numpy.dot}
     1662    0.124    0.000    0.125    0.000 chebfcns.py:96(coeffDiff)
      430    0.122    0.000    0.129    0.000 linalg.py:2104(lstsq)
      430    0.106    0.000    0.110    0.000 linalg.py:1468(svd)
    14373    0.104    0.000    0.692    0.000 arraysetops.py:151(unique)
    14373    0.103    0.000    0.103    0.000 {method 'argsort' of 'numpy.ndarray' objects}
    87179    0.091    0.000    0.091    0.000 {numpy.arange}
     4634    0.069    0.000    3.169    0.001 Fluid.py:197(correctVel)
     8814    0.068    0.000    0.280    0.000 Fiber.py:336(RPYSBTKernel)
     6880    0.062    0.000    0.062    0.000 {built-in method FPDensity}
    60704    0.053    0.000    0.161    0.000 fromnumeric.py:54(_wrapfunc)
   140549    0.051    0.000    0.092    0.000 numeric.py:469(asarray)
    96906    0.051    0.000    0.064    0.000 numeric.py:541(asanyarray)
       25    0.049    0.002    0.119    0.005 ExForces.py:99(addnewCLs)
